name,ra,rp,ratio,T,vt,family,method,denom,h,e_phase,energy_max,energy_final,L_max,pericentre_error,apocentre_error,angular_phase_error
ra1_q0.2,1.0,0.2,0.2,5.515082090672513,0.16666666666666669,moderate,S4G,8,0.6893852613340641,0.44623925780148216,0.006733362838119066,0.0008787274472174772,1.4988010832439611e-15,0.00421345929260214,0.008120988851501698,-0.4253496489113999
ra1_q0.05,1.0,0.05,0.05,5.179202175205102,0.047619047619047616,strong,S4G,8,0.6474002719006378,2.822695379232488,0.7090321965187547,0.7074057338777662,1.3114509478384662e-15,0.07037142032919566,2.7086277503082896,0.1803405081236491
ra10_q0.5,10.0,5.0,0.5,131.83549189152566,0.22473328748774737,moderate,S4G,8,16.479436486440708,1.019417040099007,0.009423047981197849,0.005199753773163443,3.161715577176521e-15,-0.00819933208557,0.0192489490893637,-0.8309834974351205
ra10_q0.2,10.0,2.0,0.2,96.3165263651157,0.14213381090374028,moderate,S4G,8,12.039565795639463,17.82934124933645,1.1370989293347469,1.116876869065624,6.248889085944805e-16,0.13786931199320884,16.882697325307568,-42.493165974458286
ra10_q0.05,10.0,0.5,0.05,82.26046778076812,0.05372153093502534,strong,S4G,8,10.282558472596016,85.9784818022158,7.72275118666591,7.719566443657387,5.929149453134571e-13,0.5142268502080327,85.11681587871814,-39.03072257660543
ra0.05_q1,0.05,0.05,1.0,1.4752110935185525,0.21295885499997996,circular,KDK,12,0.12293425779321271,0.17407023642926783,0.00015933350936327348,4.67649957400026e-07,1.4662467342616707e-15,0.0,0.04900448689753201,-0.12095776312153816
ra0.1_q1,0.1,0.1,1.0,2.1856094184751425,0.28747978728803447,circular,KDK,12,0.18213411820626188,0.3261821670255374,0.00031852666710200213,0.00018419652862499507,1.206849004823241e-15,0.0,0.05042953603555986,-0.2496799174726263
ra0.3_q1,0.3,0.3,1.0,4.473875023445472,0.4213250442347431,circular,KDK,12,0.37282291862045597,0.8107432499160943,0.000946817136150806,0.00032816673073772523,1.7567165617410122e-15,0.0,0.05574293598847073,-0.60171901394299
ra1_q1,1.0,1.0,1.0,12.566370614359172,0.5,circular,KDK,12,1.0471975511965976,1.9217800556199192,0.0028903650062788167,0.00026160542001300396,6.661338147750939e-16,0.0,0.06984443548520236,-1.5073808792827066
ra3_q1,3.0,3.0,1.0,43.531184741621225,0.43301270189221935,circular,KDK,12,3.6275987284684352,2.794235648373175,0.006340514765212824,0.0001980011824537442,8.546500828371396e-16,0.0,0.09126922301469372,-2.838887905198767
ra10_q1,10.0,10.0,1.0,218.56094184751421,0.28747978728803447,circular,KDK,12,18.213411820626185,2.4836435063052886,0.01020260002003437,0.009977406445897135,7.723833630868742e-16,0.0,0.11321702944742836,-4.166959072335715
ra0.1_q0.5,0.1,0.05,0.5,1.1061450642821737,0.16988239714587516,moderate,KDK,12,0.09217875535684782,0.049288839608198784,0.0013804935912408553,2.252545083758495e-06,1.0211319743076319e-15,0.018435784056539534,0.0,0.028771973261548567
